"Question","Answer"
"What is Baby's First Step?","Sorry, no answer found for Baby's First Step."
"Can you explain Baby's First Step?","Sorry, no answer found for Baby's First Step."
"What are the key points of Baby's First Step?","Sorry, no answer found for Baby's First Step."
"How does Baby's First Step relate to wooo hooo!!!!   Okay..I'm really just murdering time.  I'm in Caldwell Idaho!!!! Thats right kids! After a horrendous time in California living with the most depressed boy ever...who later moved to Boston, leaving me to toil in my new found self loathing, I eventually left to live in the tiny streets of Boise.  I'm here now making copies for the best suits of corporate america.  A reprographics associate by day, a lo fi princess by night.  I'll be returning to Seattle next year to drink and soak in the pretentia and black-clad ""hollier than thou"" musical wasteland I once called Home.?","Sorry, no answer found for Baby's First Step."
"What are some interesting facts about Baby's First Step?","Sorry, no answer found for Baby's First Step."
"Who are the experts on Baby's First Step?","Sorry, no answer found for Baby's First Step."
"What are the benefits of learning about Baby's First Step?","Sorry, no answer found for Baby's First Step."
"What are the challenges of learning about Baby's First Step?","Sorry, no answer found for Baby's First Step."
"What is the history of Baby's First Step?","Sorry, no answer found for Baby's First Step."
"What are the future trends of Baby's First Step?","Sorry, no answer found for Baby's First Step."
"What is Le Show?","Sorry, no answer found for Le Show."
"Can you explain Le Show?","Sorry, no answer found for Le Show."
"What are the key points of Le Show?","Sorry, no answer found for Le Show."
"How does Le Show relate to Yay!!! The monotany of daily nothingness was broken by this evenings Salty Greatness.  An action packed glory filled show featuring the sound stylings of Lands Farther East from Bellinghan, Unfold from You-Tah (utah), and Shane Brown Syndrome from Tada....Boise!  So it was intriguing to find out that Ben (a former aquaintence of many moons ago)...thought I had resided in La Jolla for years and been back in Boise for  several of those increments as well... I had to set him straight.  It got really awkward when Jessikah and Sarah got miffed at eachother with a catty milk throwing stomp-off Ho-Down.  Never have the sounds of...,""uhhh............"" felt soooo right.  I had to recruit reinforcement...backup..if you will...from Steph and Jeremy......blah blah blah...we drank on Aaron's porch, he wasn't home...and now I call my brother to find he is involved in a public mass suicide at the Interlude...he swears he's sober...uh huh....well I'm going to go sleepy sleep...I need to practice tomorrow at 3pm in the Julia Davis Bandshell..yay!! rock on!!!?","Sorry, no answer found for Le Show."
"What are some interesting facts about Le Show?","Sorry, no answer found for Le Show."
"Who are the experts on Le Show?","Sorry, no answer found for Le Show."
"What are the benefits of learning about Le Show?","Sorry, no answer found for Le Show."
"What are the challenges of learning about Le Show?","Sorry, no answer found for Le Show."
"What is the history of Le Show?","Sorry, no answer found for Le Show."
"What are the future trends of Le Show?","Sorry, no answer found for Le Show."
"What is Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"Can you explain Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"What are the key points of Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"How does Practice is a bust..Thank You Christians relate to Our practice never happened...because once I arrived at the park where we were supposed to practice, there were loyal minions in droves chanting along to some of the worst music ever in existence.  I couldn't find the Jessinator or SarahSerhaan.  I drove home annoyed as hell, and melted in the sun.?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"What are some interesting facts about Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"Who are the experts on Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"What are the benefits of learning about Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"What are the challenges of learning about Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"What is the history of Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"What are the future trends of Practice is a bust..Thank You Christians?","Sorry, no answer found for Practice is a bust..Thank You Christians."
"What is Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"Can you explain Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"What are the key points of Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"How does Ring a ding ding relate to Blase today, I worked mucho hours.  Nothing exciting to write about really. The newspaper was filled with right wing propaganda as always, which is pretty much just slander.  I love Idaho!?","Sorry, no answer found for Ring a ding ding."
"What are some interesting facts about Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"Who are the experts on Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"What are the benefits of learning about Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"What are the challenges of learning about Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"What is the history of Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"What are the future trends of Ring a ding ding?","Sorry, no answer found for Ring a ding ding."
"What is Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"Can you explain Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"What are the key points of Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"How does Bugs are a biting relate to Yikes...today was horrid.  Awakened from my slumber amid a blast of cold air and a Shocking Sound blaring from my alarm.  The worst dream ever, could not be called a nightmare, because it contained secret wishes within its terrorizing plots.  What the hell did I eat last night; what did I think in passing to make my subcontious conjure up such a disturbing scenario?  He's not even dead and the other isn't even an aquaintence. Two nights in a row, he's been dead...  The blatant symbolism lies in the ""death"" of our friendship, but why now?  Its been almost 3 years since we've even spoken....the last words from his mouth being, ""I'll see you later...I promise"".  Is this what he meant?  He'll see me in my mind's eye and plaugue me with frightening images of the entire friendships' highs and lows played out in a fraction of the time with severity and dark undertones.  
Of course, once fully awakened, my physical state had been disturbed as well.  My wrist was itching and swollen...  Something fucking bit me!  There's no bite....oh well...
I get to work, all the while annoyed with my wrist and the last image of the dream, while feeling abnormally cold.  The first assignment ...done...The second task....-fin-.....the third...augh!!! I pass out....I wake up yet again in a state of annoyance and bewilderment...covered in a cold sweat.  Yay!! no one walked in while I was laying on the floor.  

My day sucked.....in more ways than one?","Sorry, no answer found for Bugs are a biting."
"What are some interesting facts about Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"Who are the experts on Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"What are the benefits of learning about Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"What are the challenges of learning about Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"What is the history of Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"What are the future trends of Bugs are a biting?","Sorry, no answer found for Bugs are a biting."
"What is My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"Can you explain My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"What are the key points of My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"How does My lipstick has worn off relate to She rubs her soft little face against my foot.  Ignoring where they were prior to her act of adoration.  
Hometowns are somewhat perplexing.....How is that defined?  I dont think I have one.  When people ask where I'm from I really dont know what to say. I wasn't raised here during my elementary years. Freud says thats when our personalities are developed...before the age of six.  If thats the case, I should still glance up at every stranger with an expecting smile, shyly asking, ""how do you do?""  But then we made our way just a tiny bit north....my whole world was changed.  Rick Astley....  Debbie Gibson....augh!!!!  
Yet again, everything changes as fast as I adapted to my plaid skirts changing colors and pride to assimilate the knee high socks, we moved again. When I heard we were ""visiting"" Ohio I was soo excited...Ohio....wow...thats really far from California....  Yes, it is....too bad our actual destination was Idaho!  
I spent the next ten years of my life trapped in a sprawling wasteland full of idiot rednecks, nazi's right-wing geriatrics, and trendy kids who picked up the styles of 6 years prior only to copy them in such a haphazard has-been manner that the only comments they could share with a ""freak"" such as myself, is ""look at her hair"" as they passed me on their way to class.  I had spit in my hair as I left the bus.....When I returned I kicked his ass...
I stopped riding the bus after that.  Noone likes a mean girl..noone likes a bitch.  Noone accept the other rejects.  I listened to better soundtracks in accord with my life ...in the processes of my ascent to freedom from giving a Fuck.  I'll be damned If I go back now.?","Sorry, no answer found for My lipstick has worn off."
"What are some interesting facts about My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"Who are the experts on My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"What are the benefits of learning about My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"What are the challenges of learning about My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"What is the history of My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"What are the future trends of My lipstick has worn off?","Sorry, no answer found for My lipstick has worn off."
"What is 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"Can you explain 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"What are the key points of 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"How does 911 is a joke in yo town relate to Aside from the constant barage of Suits asking if I worked for the Mail Room (which I dont) in a condescending manner, my day was uneventful.  I had coffee with Aaron, and we discussed the decline of America and the dream for hired assisins that we elaborate on during such meetings.  Logic vs. Equations.... the possibility of playing chess during this hour rather than our usual banter.  How we are going to spend out jaunt to Seattle.  Mix and Mingle...  
that is until....
dunn dunnnn duuuuuunnnnnnn!!!!

Stephanie calls me at work aprox:1642 in a whispery voice....""I need to talk to you!""....""what??!!""  ""the lady downstairs is getting the crap beat out of her""...""I dont know what to do""....""call the cops""....""is Travis there"" (travis..5 years old, super cute, makes own rules for soccer, loves to talk about how weird girls are).  ""yes, he's crying and saying,'Dont hurt my mommy!'"" ""augh!!""....""leave, and I'll call the cops""....
so I did .....I called the cops...they showed up and as trite as this scenario is, she didn't press charges.  Since this in Idaho,and women are subhuman there are no laws in place to protect victims of domestic violence....or even the little innocent soccer playing kitten chasing cute boys. Normally, children annoy the living shit out of me, but he's so fucking adorable...maybe its because he's so carefree, maybe I feel sorry for him, He wont cry in front of me.  So young yet so isolated.  He's not allowed to play with other children, so he entertains himself with us...the twenty somethings above him.  Jeremy and Aaron teach him the ""established"" rules of soccer...I give him paint samples and he thinks he's conned me....  He gets a dime everytime he doesn't flip off the stairs.....  I told him he'll become a quadrapelegic if he does and that he'll never be able to move again......  learned him gud.  

So my day sucked and I want to steal Travis away from his fucked up drug dealing/bike stealing father......

the cops... did nothing?","Sorry, no answer found for 911 is a joke in yo town."
"What are some interesting facts about 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"Who are the experts on 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"What are the benefits of learning about 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"What are the challenges of learning about 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"What is the history of 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"What are the future trends of 911 is a joke in yo town?","Sorry, no answer found for 911 is a joke in yo town."
"What is scared straight?","Sorry, no answer found for scared straight."
"Can you explain scared straight?","Sorry, no answer found for scared straight."
"What are the key points of scared straight?","Sorry, no answer found for scared straight."
